Frequency,Number,Vocabulary,Translation
1,46638.38,的,of
2,12245.4,在,exist
3,10786.41,和,and
4,10303.88,了,In
5,7049.64,一,one
6,5990.93,是,Yes
7,4719.8,年,year
8,4349.5,个,Piece
9,3747.68,中,middle
10,3727.25,为,for
11,3641.35,对,right
12,3356.41,将,will
13,3285.43,这,This
14,3193.45,日,day
15,3044.1,等,Wait
16,2952.3,说,Say
17,2949.3,有,have
18,2835.33,他,he
19,2816.84,多,many
20,2685.54,发展,developing
21,2682.73,记者,reporter
22,2568.5,中国,China
23,2518.07,与,and
24,2495.65,上,superior
25,2483.89,以,by
26,2381.47,月,moon
27,2359.17,两,two
28,2157.24,已,already
29,2120.47,经济,economy
30,2068.88,到,arrive
31,2030.23,企业,enterprise
32,1969.17,国家,nation
33,1963.11,人,people
34,1886.09,大,Big
35,1843.1,进行,conduct
36,1820.59,名,name
37,1813.17,也,also
38,1807.66,工作,Work
39,1745.42,新,new
40,1711.07,元,Yuan
41,1666.91,并,and
42,1657.06,要,want
43,1634.11,还,Also
44,1633.24,从,from
45,1570.96,不,No
46,1549.41,地,land
47,1507.21,后,Rear
48,1498.88,问题,problem
49,1477.8,就,At once
50,1441.74,建设,Build
51,1432.84,今天,today
52,1365.47,都,All
53,1360.47,据,according to
54,1345.41,《,""""
55,1345.29,》,""""
56,1329.15,地区,area
57,1317.09,今年,This year
58,1298.91,时,Time
59,1257.65,着,write
60,1248.84,比赛,Contest
61,1245.54,由,Depend on
62,1236.32,市场,market
63,1230.68,世界,world
64,1229.36,分之,Submit
65,1228.1,向,Towards
66,1227.37,全国,National
67,1210.07,百,Hundred
68,1205.5,次,Second-rate
69,1202.71,国际,internationality
70,1193.51,被,quilt
71,1190.95,技术,Technology
72,1182.84,他们,them
73,1182.01,目前,Currently
74,1163.56,使,make
75,1156.23,于,At
76,1155.81,但,but
77,1152.47,美国,America
78,1099.01,三,three
79,1091.62,举行,Hold
80,1084.38,来,Come
81,1066.17,而,and
82,1034.34,合作,cooperate
83,1025.09,种,kind
84,1024.13,组织,organization
85,1022.03,把,Bundle
86,1018.01,国,country
87,990.95,―,-
88,973.02,去年,last year
89,953.93,我国,my country
90,948.01,会议,Meeting
91,931.17,达,Reach
92,924.2,下,Down
93,921.15,社会,society
94,916.19,有关,related
95,914.63,生产,Production
96,910.84,表示,Express
97,906.3,关系,relation
98,896.09,参加,join
99,893.52,项目,project
100,886.69,项,item
101,884.72,活动,Activity
102,881.78,改革,reform
103,874.59,・,·
104,874.52,第一,First
105,866.96,我们,we
106,862.95,前,forward
107,862.17,人民,people
108,860.72,最,most
109,830.73,管理,manage
110,826.13,美元,Dollar
111,825.89,家,Family
112,825.26,通过,pass through
113,823.56,比,Compare
114,823.2,部门,Department
115,818.95,投资,invest
116,803.79,副,vice
117,790.8,各,each
118,782.31,及,and
119,777.49,高,high
120,776.93,又,again
121,771.47,加强,strengthen
122,768.98,重要,important
123,763.55,方面,aspect
124,758.84,人员,personnel
125,757.12,提高,improve
126,755.01,增长,increase
127,740.31,政府,government
128,739.88,认为,think
129,726.96,产品,product
130,726.18,好,good
131,722.78,至,to
132,721.46,工程,project
133,719.93,科技,Technology
134,713.96,开发,Develop
135,712.39,之,Of
136,711.92,主要,main
137,704.85,香港,Hongkong
138,694.71,同时,at the same time
139,694.29,没有,no
140,690.93,开始,Start
141,687.7,同,same
142,686.47,北京,Beijing
143,686.36,一些,Some
144,681.38,研究,Research
145,681.22,所,Place
146,680.93,这个,this
147,676.73,建立,Establish
148,672.25,出,out
149,671.25,起,rise
150,670.4,近,close
151,669.78,成为,become
152,652.85,要求,Require
153,645.43,位,Position
154,640.2,分,Minute
155,638.62,更,Even
156,638.06,其,That
157,633.63,我,I
158,632.81,米,rice
159,631.53,农民,Farmer
160,628.83,内,Inside
161,623.53,增加,Increase
162,622.12,其中,in
163,620.11,实现,accomplish
164,614.5,以来,since
165,612.82,农业,agriculture
166,610.3,总统,President
167,603.55,会,meeting
168,602.31,们,Weies
169,602.17,解决,solve
170,600.06,很,very
171,598.79,服务,Serve
172,597.75,可,Can
173,593.48,代表,represent
174,589.95,情况,condition
175,588.33,主席,Chairman
176,587.97,领导,lead
177,582.38,公司,company
178,581.11,几,Several
179,579.36,以及,as well as
180,577.43,提供,supply
181,574.08,取得,Obtain
182,571.51,计划,plan
183,568.76,群众,the masses
184,567.03,这些,These
185,564.51,能,can
186,563.42,里,inside
187,562.74,水平,level
188,558.53,选手,Playner
189,558.29,获得,get
190,557.06,教育,educate
191,553.69,自己,Own
192,551.71,用,use
193,551.39,进一步,further
194,546.94,天,sky
195,538.08,决定,Decide
196,534.23,她,she
197,533.82,给,give
198,533.05,这次,this time
199,527.55,和平,Peace
200,527.55,提出,propose
201,527.3,介绍,introduce
202,521.35,双方,both sides
203,520.23,干部,cadre
204,518.05,首,head
205,517.7,第二,second
206,515.5,积极,positive
207,510.98,单位,unit
208,508.86,由于,because
209,505.89,城市,City
210,505.21,已经,already
211,505.07,政策,policy
212,504.91,文化,culture
213,504.17,日本,Japan
214,502.34,继续,continue
215,496.59,上海,Shanghai
216,494.58,场,field
217,493.23,届,Session
218,489.44,环境,surroundings
219,488.87,指出,Poke
220,488.52,条,strip
221,487.9,报道,Report
222,485.65,以上,above
223,484.05,希望,hope
224,483.52,共,common
225,481.73,达到,achieve
226,477.5,实施,Implement
227,477.39,开展,Carry out
228,476.18,支持,support
229,472.11,或,or
230,469.94,访问,access
231,468.76,作为,Be
232,468.66,占,Take up
233,468,重点,Focus
234,467.79,斯,State
235,467,这里,here
236,463.93,规定,Regulation
237,459.52,尔,you
238,458.6,分别,respectively
239,458,资金,funds
240,455.48,较,More
241,452.89,措施,measure
242,450.55,万,ten thousand
243,450.13,批,Batch
244,449.69,发生,occur
245,447.44,新华社,Xinhua News Agency
246,446.99,努力,effort
247,446.21,得,have to
248,443.12,农村,Rural
249,440.96,工业,industry
250,440.57,采取,take
251,438.68,四,Four
252,438.3,正在,Be in
253,436.35,可以,Can
254,432.78,市,city
255,431.51,_,_
256,430.76,促进,Promote
257,430.41,专家,expert
258,429.7,总理,Prime Minister
259,429.03,生活,Life
260,426.06,时间,time
261,425.87,安全,Safety
262,425.82,经营,Manage
263,420.07,职工,staff
264,418.55,县,County
265,417.08,吨,Ton
266,416.7,岁,age
267,416.35,根据,according to
268,416.35,进入,Enter
269,414.92,国内,domestic
270,414.29,稳定,stability
271,407.53,质量,quality
272,407.36,现在,now
273,407.01,共同,common
274,405.64,结束,Finish
275,405.32,特别,very
276,403.26,利用,use
277,402.86,省,Province
278,402.02,实行,Implement
279,401.88,得到,get
280,400.78,政治,politics
281,398.5,冠军,champion
282,395.11,党,party
283,394.69,完成,Finish
284,394.55,张,Sheet
285,394.52,第三,third
286,394.06,它,it
287,392.94,产业,industry
288,392.31,成立,Establishment
289,391.5,包括,include
290,390.54,小,small
291,388.61,作用,effect
292,388.15,成绩,achievement
293,387.91,点,point
294,387.85,开放,open
295,387.44,出现,Appear
296,386.19,不断,Constantly
297,382.11,影响,Influence
298,379.55,曾,Once
299,377.41,历史,history
300,376.71,应,answer
301,375.69,系统,system
302,373.6,亩,mu
303,372.29,保护,Protect
304,370.52,二,two
305,370.17,宣布,Announce
306,370.05,严重,severe
307,370.02,出口,exit
308,369.83,全省,Province
309,367.98,贸易,trading
310,363.83,联合国,United Nations
311,363.49,需要,need
312,363.42,发现,Find
313,362.72,该,Should
314,362.16,许多,many
315,361.76,必须,must
316,361.45,拉,pull
317,361.38,协议,protocol
318,360.63,发表,Publish
319,359.13,形成,form
320,358.65,为了,for
321,358.39,条件,condition
322,357.78,了解,learn
323,355.38,民族,nationality
324,354.63,具有,have
325,353.89,制度,system
326,348.76,俄罗斯,Russia
327,347.5,约,make an appointment
328,346.67,再,Again
329,346.27,因,because
330,346.24,基本,Basic
331,344.9,成功,success
332,344.28,发挥,Play
333,343.5,基础,Base
334,342.81,过,pass
335,342.74,联合,joint
336,342.12,美,nice
337,339.9,让,let
338,338.37,来自,From
339,337.68,作出,Make
340,337.01,同志,Comrade
341,336.33,经过,go through
342,336,机构,mechanism
343,334.22,地方,place
344,332.24,其他,other
