Frequency,Number,Vocabulary,Translation,Pinyin
3,10786.41,和,and,hé
4,10303.88,了,In,le
5,7049.64,一,one,yī
6,5990.93,是,Yes,shì
7,4719.8,年,year,nián
8,4349.5,个,Piece,gě
10,3727.25,为,for,wéi
11,3641.35,对,right,duì
12,3356.41,将,will,jiāng
13,3285.43,这,This,zhè
14,3193.45,日,day,rì
15,3044.1,等,Wait,děng
17,2949.3,有,have,yǒu
20,2685.54,发展,developing,fāzhǎn
21,2682.73,记者,reporter,jìzhě
23,2518.07,与,and,yú
24,2495.65,上,superior,shǎng
25,2483.89,以,by,yǐ
26,2381.47,月,moon,yuè
28,2157.24,已,already,yǐ
29,2120.47,经济,economy,jīngjì
30,2068.88,到,arrive,dào
