Frequency,Number,Vocabulary,Translation,Pinyin
1,46638.38,的,of,de
2,12245.4,在,exist,zài
3,10786.41,和,and,hé
4,10303.88,了,In,le
5,7049.64,一,one,yī
6,5990.93,是,Yes,shì
7,4719.8,年,year,nián
8,4349.5,个,Piece,gě
9,3747.68,中,middle,zhōng
10,3727.25,为,for,wéi
11,3641.35,对,right,duì
12,3356.41,将,will,jiāng
13,3285.43,这,This,zhè
14,3193.45,日,day,rì
15,3044.1,等,Wait,děng
16,2952.3,说,Say,shuì
17,2949.3,有,have,yǒu
18,2835.33,他,he,tā
19,2816.84,多,many,duō
20,2685.54,发展,developing,fāzhǎn
21,2682.73,记者,reporter,jìzhě
22,2568.5,中国,China,zhōngguó
23,2518.07,与,and,yú
24,2495.65,上,superior,shǎng
25,2483.89,以,by,yǐ
26,2381.47,月,moon,yuè
27,2359.17,两,two,liǎng
28,2157.24,已,already,yǐ
29,2120.47,经济,economy,jīngjì
30,2068.88,到,arrive,dào
31,2030.23,企业,enterprise,qǐyè
32,1969.17,国家,nation,guójiā
33,1963.11,人,people,rén
34,1886.09,大,Big,dà
35,1843.1,进行,conduct,jìnxíng
36,1820.59,名,name,míng
37,1813.17,也,also,yě
38,1807.66,工作,Work,gōngzuò
39,1745.42,新,new,xīn
40,1711.07,元,Yuan,yuán
41,1666.91,并,and,bīng
42,1657.06,要,want,yāo
43,1634.11,还,Also,hái
44,1633.24,从,from,cóng
45,1570.96,不,No,bù
46,1549.41,地,land,de
47,1507.21,后,Rear,hòu
48,1498.88,问题,problem,wèntí
49,1477.8,就,At once,jiù
50,1441.74,建设,Build,jiànshè
51,1432.84,今天,today,jīntiān
52,1365.47,都,All,dōu
53,1360.47,据,according to,jū
54,1345.41,《,"""",jū
55,1345.29,》,"""",jū
56,1329.15,地区,area,dìqū
57,1317.09,今年,This year,jīnnián
58,1298.91,时,Time,shí
59,1257.65,着,write,zhāo
60,1248.84,比赛,Contest,bǐsài
61,1245.54,由,Depend on,yóu
62,1236.32,市场,market,shìchǎng
63,1230.68,世界,world,shìjiè
64,1229.36,分之,Submit,fēn
65,1228.1,向,Towards,xiàng
66,1227.37,全国,National,quánguó
67,1210.07,百,Hundred,bǎi
68,1205.5,次,Second-rate,cì
69,1202.71,国际,internationality,guójì
70,1193.51,被,quilt,bèi
71,1190.95,技术,Technology,jìshù
72,1182.84,他们,them,tāmen
73,1182.01,目前,Currently,mùqián
74,1163.56,使,make,shǐ
75,1156.23,于,At,yú
76,1155.81,但,but,dàn
77,1152.47,美国,America,Měiɡuó
78,1099.01,三,three,sān
79,1091.62,举行,Hold,jǔxíng
80,1084.38,来,Come,lái
81,1066.17,而,and,ér
82,1034.34,合作,cooperate,hézuò
83,1025.09,种,kind,chóng
84,1024.13,组织,organization,zǔzhī
85,1022.03,把,Bundle,bǎ
86,1018.01,国,country,guó
87,990.95,―,-,guó
88,973.02,去年,last year,qùnián
89,953.93,我国,my country,wǒ
90,948.01,会议,Meeting,huìyì
91,931.17,达,Reach,dá
92,924.2,下,Down,xià
93,921.15,社会,society,shèhuì
94,916.19,有关,related,yǒuguān
95,914.63,生产,Production,shēngchǎn
96,910.84,表示,Express,biǎoshì
97,906.3,关系,relation,guānxi
98,896.09,参加,join,cānjiā
99,893.52,项目,project,xiàngmù
100,886.69,项,item,xiàng
101,884.72,活动,Activity,huódòng
102,881.78,改革,reform,gǎigé
103,874.59,・,·,gǎigé
104,874.52,第一,First,dì-yī
105,866.96,我们,we,wǒmen
106,862.95,前,forward,qián
107,862.17,人民,people,rénmín
108,860.72,最,most,zuì
109,830.73,管理,manage,guǎnlǐ
110,826.13,美元,Dollar,měiyuán
111,825.89,家,Family,jiā
112,825.26,通过,pass through,tōngguò
113,823.56,比,Compare,bǐ
114,823.2,部门,Department,bùmén
115,818.95,投资,invest,tóuzī
116,803.79,副,vice,fù
117,790.8,各,each,gě
118,782.31,及,and,jí
119,777.49,高,high,gāo
120,776.93,又,again,yòu
121,771.47,加强,strengthen,jiāqiáng
122,768.98,重要,important,zhòngyào
123,763.55,方面,aspect,fāngmiàn
124,758.84,人员,personnel,rényuán
125,757.12,提高,improve,tígāo
126,755.01,增长,increase,zēngzhǎng
127,740.31,政府,government,zhèngfǔ
128,739.88,认为,think,rènwéi
129,726.96,产品,product,chǎnpǐn
130,726.18,好,good,hǎo
131,722.78,至,to,zhì
